        ra        |       dec        | psfmag_g | ?column? | skyivar_g | skyivar_i  
------------------+------------------+----------+----------+-----------+------------
 140.179392255556 |  20.983042424175 |  14.3625 |  0.44631 |    153.79 |    1.19767
 140.010066912238 | 20.9877841595543 |  13.8606 | 0.614349 |   4617.42 |    128.619
 140.339104030976 | 20.9898116347022 |  13.3708 |  0.56685 |   760.913 |    202.919
 140.150479849274 | 20.9873269779813 |   14.716 |  0.39253 |   5251.38 |    926.149
 140.347827330467 | 20.0088575697835 |  14.5308 | 0.390491 |    3662.7 |    41.4205
 140.815659205905 | 20.4885616173206 |  14.2414 |  0.42508 |   621.831 |      458.9
 140.345374240041 | 20.3631454675476 |  11.7389 |   0.7298 |   965.304 |    111.039
 140.715427714728 | 20.5641800019385 |  14.6679 |  0.35663 |    1406.2 |    117.429
 140.425946338514 | 20.5541358845462 |  12.7872 |  0.33848 |   177.423 |    1548.68
 140.286277027864 | 20.9389165505759 |  12.9282 |  0.47767 |  0.143423 |   0.265506
 140.867734913702 | 20.1067682801298 |  12.1075 | 0.764839 |   3225.42 |    87.3334
 140.568921355058 | 20.8876561840925 |  13.0464 |  0.36031 |   5083.93 |    1142.68
  140.42601834531 | 20.3522493797834 |  14.0663 |  0.64078 |   6647.05 |     941.04
 140.252363696482 | 20.8080223240786 |  13.7926 |    0.669 |      4040 |    1156.46
 140.494289419073 |  20.600568448181 |  14.4522 |   0.4517 |   6724.89 |    2149.39
 140.887133705041 |  20.620692993865 |  13.6891 |  0.50519 |   6890.52 |    1580.43
 140.772671762516 | 20.9823622451094 |   14.416 | 0.425711 |    3865.1 |     1001.2
 140.671540397854 | 20.9903898915542 |   14.755 | 0.378229 |   5856.09 |    2045.46
 140.260053159431 | 20.0088603407756 |  13.9866 |  0.53043 |   6372.59 |    1636.55
 140.549634705618 | 20.6904696218603 |  13.0283 |  0.37757 |   581.085 |    69.5557
 140.973283724921 | 20.5490260191719 |  13.4549 |  0.70983 |   418.327 |    6.30528
 140.001415439538 |  20.171138399273 |  13.2498 |  0.46737 |   4623.22 |    748.999
 140.165781932508 | 20.0903440751313 |  13.4711 |  0.42443 |   156.452 |    12.0042
 140.051383329035 | 20.0567958210316 |  14.5779 | 0.462621 |   1718.07 |    77.7591
  140.42772434919 | 20.8277335074278 |  14.0306 |  0.61342 |   4388.14 |     563.78
 140.120268777178 |  20.857498683927 |  13.9784 |  0.44409 |   3744.93 |    428.444
 140.879215632261 | 20.9609694107827 |  13.8182 |  0.59341 |   5384.59 |    1429.77
 140.430988922492 | 20.2378209324355 |   14.237 |  0.56419 |   5860.16 |    318.953
 140.006329908582 | 20.9316717839655 |   14.561 |  0.40363 |   8672.08 |    248.917
 140.293398893676 | 20.9585995647923 |  13.8306 |  0.45649 |   5373.65 |    1589.78
 140.921603965299 | 20.3287813321182 |  14.6026 |  0.48086 |   42.1276 |    0.55422
 140.099616969681 | 20.9418209796586 |  13.4791 |  0.33998 |   812.187 |    10.2111
 140.970435330565 | 20.0969270813066 |  14.9229 |  0.22506 |    210.93 |    57.4838
 140.970489215031 | 20.2921945099298 |  12.8421 |  0.27614 |   52.8229 |   0.713503
 140.130485275224 | 20.9584145090673 |  13.2995 | 0.367129 |    15.152 |    8.83945
  140.88484212668 | 20.3315113698579 |  14.5335 |  0.49907 |    4543.7 |    1.08464
 140.286294849563 | 20.6815714946038 |  14.7587 |  0.40985 |   3641.49 |    725.682
 140.074690179699 |  20.059180378966 |  14.0518 | 0.409861 |   10.4792 |   0.172431
 140.081921796607 | 20.7913953256998 |  12.2533 |  0.51232 |   943.667 |    56.0192
   140.4806670024 | 20.6365580102019 |  12.6637 |  0.72728 |   3504.67 |     332.03
  140.13748108705 |  20.529788453171 |  14.5073 |  0.37634 |   4516.15 |    207.313
 140.681828657465 | 20.9022167796806 |  14.6992 |  0.45908 |   5279.96 |    1179.51
 140.045718962994 | 20.2454117470365 |  13.8351 |  0.68258 |   4124.88 |    591.674
 140.428929466503 | 20.6188163103483 |  12.9774 |  0.32018 |   1570.88 |    207.216
 140.242535674052 | 20.5187398788581 |  14.2529 |  0.53902 |   6734.79 |     2167.6
 140.875471675911 | 20.4047921912021 |  14.0015 |  0.66824 |   6174.15 |    1643.23
 140.613351588476 | 20.8384874510146 |  14.4426 | 0.433801 |    2423.8 |    440.997
 140.649191039737 | 20.2675894224886 |   13.358 | 0.331429 |    5957.2 |    1544.59
 140.046176134017 |  20.640205027796 |  13.8663 |  0.50103 |   286.894 |    11.4304
  140.16805894435 |  20.164963803877 |  13.1712 |  0.39427 |   13.4514 |   0.266834
 140.759420348343 | 20.1573890657516 |  12.3545 |    0.403 |   577.521 |     15.651
 140.475225459301 | 20.0024827475566 |  14.5012 | 0.597671 |      6688 |    1178.94
 140.050157305446 | 20.3556239835547 |  13.4307 |  0.41519 | 0.0189585 | 0.00292621
 140.556090581087 | 20.1984178623302 |  13.8246 |  0.74141 |   6512.89 |    1171.65
  140.85015331861 | 20.0929499913169 |  13.2662 |  0.51603 |   1846.91 |    301.455
 140.759985573931 | 20.5553940133163 |  11.6166 |  0.75408 |   1142.34 |     1.8901
 140.752553576984 | 20.0867421003093 |  13.4019 | 0.463961 |   5922.47 |    834.735
 140.572118435406 | 20.8467184251589 |  12.5736 |  0.47508 |    1262.6 |    293.834
 140.657885065185 | 20.5255453819542 |  11.8859 |  0.41217 |      1.82 |   0.235099
 140.812288270249 |  20.673572711749 |  11.8394 |  0.67924 |   20.0688 |   0.184129
  140.25659535296 | 20.0609606799602 |  13.4993 |  0.38453 |   4315.87 |    455.152
 140.763958708242 | 20.5795617330583 |  14.5878 |  0.42227 |   6800.57 |    1769.31
 140.641997273848 | 20.7877698487144 |  11.5829 |  0.60197 |   2510.59 |     40.661
 140.641944389635 | 20.6915905287801 |  12.3768 |  0.30634 |    3965.7 |    513.746
 140.956006774437 | 20.4001806537712 |  14.1363 | 0.370669 |  0.102258 |  0.0210458
 140.733506460919 | 20.7098986966862 |  14.0913 |  0.27809 |   6765.21 |    2165.54
 140.664331628645 | 20.7773147691076 |  14.8223 |  0.38084 |   1091.45 |    115.661
 140.090668070544 |  20.680666705515 |   12.971 | 0.314281 |   770.894 |    148.204
 140.815659205905 | 20.4885616173206 |  14.2414 |  0.42508 |   621.831 |      458.9
 140.428929466503 | 20.6188163103483 |  12.9774 |  0.32018 |   1570.88 |    207.216
 140.361829578875 | 20.5093823178412 |  14.4726 | 0.409821 |   5958.27 |    1920.95
 140.150479849274 | 20.9873269779813 |   14.716 |  0.39253 |   5251.38 |    926.149
  140.25659535296 | 20.0609606799602 |  13.4993 |  0.38453 |   4315.87 |    455.152
 140.260053159431 | 20.0088603407756 |  13.9866 |  0.53043 |   6372.59 |    1636.55
 140.921603965299 | 20.3287813321182 |  14.6026 |  0.48086 |   42.1276 |    0.55422
 140.655405318114 | 20.3885419159791 |  12.8283 |  0.39014 |   5.42173 |   0.328437
 140.277830846497 | 20.6501940247149 |  13.0422 | 0.670159 |   5295.74 |    913.459
  140.85015331861 | 20.0929499913169 |  13.2662 |  0.51603 |   1846.91 |    301.455
 140.001415439538 |  20.171138399273 |  13.2498 |  0.46737 |   4623.22 |    748.999
 140.613351588476 | 20.8384874510146 |  14.4426 | 0.433801 |    2423.8 |    440.997
 140.759420348343 | 20.1573890657516 |  12.3545 |    0.403 |   577.521 |     15.651
 140.812288270249 |  20.673572711749 |  11.8394 |  0.67924 |   20.0688 |   0.184129
 140.772671762516 | 20.9823622451094 |   14.416 | 0.425711 |    3865.1 |     1001.2
 140.822593742106 | 20.7212990610201 |  14.3798 | 0.494349 |   4313.91 |    450.742
 140.715427714728 | 20.5641800019385 |  14.6679 |  0.35663 |    1406.2 |    117.429
 140.455623973614 |  20.109201626025 |  12.9294 |  0.51992 |    5692.2 |    1457.94
 140.293398893676 | 20.9585995647923 |  13.8306 |  0.45649 |   5373.65 |    1589.78
 140.120268777178 |  20.857498683927 |  13.9784 |  0.44409 |   3744.93 |    428.444
 140.305029963687 | 20.5581895380405 |   14.563 |  0.48816 |   4116.97 |     572.39
  140.51929827144 | 20.8434418484835 |  13.9694 |  0.64192 |   4753.93 |    941.406
 140.887133705041 |  20.620692993865 |  13.6891 |  0.50519 |   6890.52 |    1580.43
  140.88484212668 | 20.3315113698579 |  14.5335 |  0.49907 |    4543.7 |    1.08464
 140.967848264823 |  20.435628689811 |  14.2917 | 0.461281 |   2903.03 |    266.492
 140.948783860122 | 20.4045051937136 |    13.76 |  0.43346 |   2.58787 |   0.436702
 140.904105855393 | 20.6066476209283 |   13.907 |  0.71621 |    4988.4 |    606.879
 140.584941741804 | 20.0393933470815 |   12.889 |  0.36339 |    3943.9 |    308.276
 140.494289419073 |  20.600568448181 |  14.4522 |   0.4517 |   6724.89 |    2149.39
 140.347827330467 | 20.0088575697835 |  14.5308 | 0.390491 |    3662.7 |    41.4205
 140.031717174991 | 20.8501181012979 |  13.5125 |  0.44849 |   5458.97 |    1114.94
 140.973283724921 | 20.5490260191719 |  13.4549 |  0.70983 |   418.327 |    6.30528
 140.875471675911 | 20.4047921912021 |  14.0015 |  0.66824 |   6174.15 |    1643.23
 140.681828657465 | 20.9022167796806 |  14.6992 |  0.45908 |   5279.96 |    1179.51
   140.4806670024 | 20.6365580102019 |  12.6637 |  0.72728 |   3504.67 |     332.03
 140.252363696482 | 20.8080223240786 |  13.7926 |    0.669 |      4040 |    1156.46
 140.345374240041 | 20.3631454675476 |  11.7389 |   0.7298 |   965.304 |    111.039
 140.405463099925 | 20.7270374614026 |   12.829 |  0.34857 |   5053.05 |    1297.88
  140.03866097985 | 20.0081074093312 |  14.3217 | 0.463409 |   6593.25 |    2098.25
 140.700819989978 |  20.945281398339 |   13.953 |  0.66769 |   5829.73 |    2049.39
 140.641997273848 | 20.7877698487144 |  11.5829 |  0.60197 |   2510.59 |     40.661
 140.044592883273 | 20.5219808093978 |  14.1702 |   0.2438 |   23.2962 |    6.29798
 140.010066912238 | 20.9877841595543 |  13.8606 | 0.614349 |   4617.42 |    128.619
 140.733506460919 | 20.7098986966862 |  14.0913 |  0.27809 |   6765.21 |    2165.54
 140.916069321175 | 20.0050593384648 |   14.027 |  0.51082 |   2834.16 |    259.556
  140.42601834531 | 20.3522493797834 |  14.0663 |  0.64078 |   6647.05 |     941.04
 140.425946338514 | 20.5541358845462 |  12.7872 |  0.33848 |   177.423 |    1548.68
 140.430988922492 | 20.2378209324355 |   14.237 |  0.56419 |   5860.16 |    318.953
 140.232562872404 | 20.4594070050263 |  14.1908 | 0.329599 |   7160.94 |    2338.33
 140.165781932508 | 20.0903440751313 |  13.4711 |  0.42443 |   156.452 |    12.0042
 140.641944389635 | 20.6915905287801 |  12.3768 |  0.30634 |    3965.7 |    513.746
  140.16805894435 |  20.164963803877 |  13.1712 |  0.39427 |   13.4514 |   0.266834
 140.671540397854 | 20.9903898915542 |   14.755 | 0.378229 |   5856.09 |    2045.46
 140.556090581087 | 20.1984178623302 |  13.8246 |  0.74141 |   6512.89 |    1171.65
 140.475225459301 | 20.0024827475566 |  14.5012 | 0.597671 |      6688 |    1178.94
 140.130485275224 | 20.9584145090673 |  13.2995 | 0.367129 |    15.152 |    8.83945
 140.374165108626 | 20.2068415061697 |  13.1824 |  0.47303 |   1204.44 |    185.157
 140.090668070544 |  20.680666705515 |   12.971 | 0.314281 |   770.894 |    148.204
 140.664331628645 | 20.7773147691076 |  14.8223 |  0.38084 |   1091.45 |    115.661
 140.763958708242 | 20.5795617330583 |  14.5878 |  0.42227 |   6800.57 |    1769.31
 140.286294849563 | 20.6815714946038 |  14.7587 |  0.40985 |   3641.49 |    725.682
 140.242535674052 | 20.5187398788581 |  14.2529 |  0.53902 |   6734.79 |     2167.6
 140.549634705618 | 20.6904696218603 |  13.0283 |  0.37757 |   581.085 |    69.5557
 140.286277027864 | 20.9389165505759 |  12.9282 |  0.47767 |  0.143423 |   0.265506
 140.879215632261 | 20.9609694107827 |  13.8182 |  0.59341 |   5384.59 |    1429.77
 140.081921796607 | 20.7913953256998 |  12.2533 |  0.51232 |   943.667 |    56.0192
 140.970489215031 | 20.2921945099298 |  12.8421 |  0.27614 |   52.8229 |   0.713503
 140.649191039737 | 20.2675894224886 |   13.358 | 0.331429 |    5957.2 |    1544.59
 140.741019330325 | 20.8474345045836 |  12.1531 |  0.30763 |   2090.38 |    211.438
 140.867734913702 | 20.1067682801298 |  12.1075 | 0.764839 |   3225.42 |    87.3334
 140.568921355058 | 20.8876561840925 |  13.0464 |  0.36031 |   5083.93 |    1142.68
 140.046176134017 |  20.640205027796 |  13.8663 |  0.50103 |   286.894 |    11.4304
 140.572118435406 | 20.8467184251589 |  12.5736 |  0.47508 |    1262.6 |    293.834
 140.074690179699 |  20.059180378966 |  14.0518 | 0.409861 |   10.4792 |   0.172431
 140.154502796003 | 20.5123503024725 |  12.0937 | 0.764421 |   1295.03 |    20.2128
 140.006329908582 | 20.9316717839655 |   14.561 |  0.40363 |   8672.08 |    248.917
 140.045718962994 | 20.2454117470365 |  13.8351 |  0.68258 |   4124.88 |    591.674
 140.099616969681 | 20.9418209796586 |  13.4791 |  0.33998 |   812.187 |    10.2111
 140.179392255556 |  20.983042424175 |  14.3625 |  0.44631 |    153.79 |    1.19767
  140.13748108705 |  20.529788453171 |  14.5073 |  0.37634 |   4516.15 |    207.313
 140.970435330565 | 20.0969270813066 |  14.9229 |  0.22506 |    210.93 |    57.4838
 140.849745041138 | 20.7216285928046 |  12.7581 |  0.36937 |   4742.15 |    557.356
 140.752553576984 | 20.0867421003093 |  13.4019 | 0.463961 |   5922.47 |    834.735
 140.657885065185 | 20.5255453819542 |  11.8859 |  0.41217 |      1.82 |   0.235099
 140.759985573931 | 20.5553940133163 |  11.6166 |  0.75408 |   1142.34 |     1.8901
 140.956006774437 | 20.4001806537712 |  14.1363 | 0.370669 |  0.102258 |  0.0210458
 140.050157305446 | 20.3556239835547 |  13.4307 |  0.41519 | 0.0189585 | 0.00292621
 140.272133418332 |  20.269240055782 |  13.6173 | 0.662279 |   4207.33 |    541.278
 140.709565366988 | 20.8032927701562 |  14.6776 |  0.31913 |   6782.85 |     2189.5
 140.339104030976 | 20.9898116347022 |  13.3708 |  0.56685 |   760.913 |    202.919
  140.42772434919 | 20.8277335074278 |  14.0306 |  0.61342 |   4388.14 |     563.78
 140.051383329035 | 20.0567958210316 |  14.5779 | 0.462621 |   1718.07 |    77.7591
(160 rows)

