        ra        |          dec          | psfmag_u | psfmagerr_u | psfmag_g | psfmagerr_g | psfmag_r | psfmagerr_r | psfmag_i | psfmagerr_i | psfmag_z | psfmagerr_z 
------------------+-----------------------+----------+-------------+----------+-------------+----------+-------------+----------+-------------+----------+-------------
 162.511772738531 |   -0.0102393238843997 |  12.8243 | 0.000856368 |   13.145 | 0.000448358 |  13.6694 | 0.000633712 |  14.0561 |   0.0244719 |  14.3966 |   0.0249384
 162.571344870289 |    0.0165205071160309 |  25.8336 |    0.593664 |  21.8722 |    0.067351 |  20.3136 |   0.0302039 |  18.8765 |   0.0228915 |  18.1305 |   0.0289434
 162.560047808967 |   -0.0374970109148987 |  22.3128 |    0.164478 |     21.1 |   0.0341856 |  20.6017 |    0.037433 |  20.4118 |   0.0408687 |  20.3072 |     0.12047
 162.564316487913 |    0.0605126217017874 |  22.1963 |    0.226581 |  21.1882 |   0.0399476 |  20.9143 |   0.0434468 |  20.7917 |   0.0517539 |  21.1106 |    0.260848
 162.473125409236 |    0.0538803556341539 |  24.2152 |    0.966777 |  25.0995 |    0.520405 |  24.8748 |    0.653839 |  23.2124 |    0.272692 |  20.6096 |    0.525712
  162.59875518021 |   0.00776759077350168 |  24.0163 |    0.889761 |   24.284 |    0.448164 |  23.8892 |    0.524978 |  22.0531 |    0.154021 |  21.9078 |    0.486266
  162.50474453355 |   -0.0744854532541338 |  23.6409 |    0.451989 |   22.607 |    0.105183 |  21.8452 |   0.0919586 |  21.7248 |    0.103691 |  21.4315 |    0.305865
 162.524883419329 |    0.0819307864708737 |  22.7702 |    0.364102 |  23.6336 |    0.256684 |  23.0372 |     0.25336 |   22.141 |    0.156992 |  21.6582 |    0.397897
 162.475775894136 |    0.0109509577442362 |  25.7129 |    0.651393 |  22.5604 |    0.108224 |  22.2553 |    0.128127 |  22.0294 |    0.142342 |  21.9109 |     0.48167
 162.635383835256 |   -0.0553036312835108 |  22.0191 |    0.126842 |  20.9788 |   0.0312571 |   20.511 |   0.0331258 |  20.3673 |   0.0349154 |  20.0862 |    0.101344
 162.501848383881 |     0.072074444285343 |  24.4839 |     0.99449 |  23.1345 |    0.171978 |  22.4551 |    0.154261 |  22.2687 |    0.175111 |  22.0468 |    0.513451
 162.543029373337 |    -0.040973691685115 |  25.7212 |    0.827244 |  23.2005 |    0.171583 |  23.4462 |     0.34786 |  23.2918 |    0.310873 |  22.3423 |    0.528662
 162.545080709093 |   -0.0409896280583511 |  23.6253 |     0.35704 |  21.4353 |   0.0425324 |  20.0053 |   0.0288963 |   19.262 |   0.0278528 |  18.7859 |   0.0412087
 162.488651328754 |    0.0801609194789496 |  24.6913 |     1.00407 |  25.2041 |    0.518602 |  22.8095 |    0.351837 |  21.2819 |    0.106843 |  21.0489 |    0.340575
 162.516411929418 |    0.0314005931268927 |  18.8393 |   0.0273045 |  16.9687 |   0.0208079 |  16.2434 |   0.0159522 |  15.9833 |   0.0185163 |  15.8374 |    0.017804
 162.554011965852 |   0.00935783143074846 |  18.6952 |   0.0262608 |  17.2394 |   0.0208656 |  16.6269 |    0.016018 |  16.3523 |   0.0185701 |  16.2155 |   0.0182117
 162.565427489019 |    0.0525154959521191 |  22.6614 |    0.334304 |  21.9374 |   0.0655938 |  21.3387 |   0.0598319 |  21.2243 |   0.0724391 |  21.1035 |    0.260192
 162.574939853724 |   -0.0952490280272483 |  23.5903 |    0.438115 |  22.9083 |    0.137885 |  21.5745 |   0.0756834 |  20.4671 |   0.0453578 |   19.704 |   0.0769329
 162.529062072748 |    0.0208749178172495 |  24.4566 |    0.994282 |  24.1165 |    0.370691 |    22.96 |    0.234629 |  21.8781 |    0.129642 |  21.2578 |    0.298585
 162.580179780032 |     0.076611625908653 |  22.9657 |    0.421597 |  22.8709 |    0.137142 |  22.0099 |    0.104468 |  21.5873 |   0.0979896 |  21.8591 |    0.456043
 162.502502267202 |    0.0248649750063279 |  24.0158 |     1.04257 |  24.5093 |    0.462999 |  22.6115 |     0.18622 |  22.0373 |    0.147662 |  22.6251 |    0.643934
 162.634440864125 |   -0.0393440566842425 |  25.5979 |    0.429799 |  24.4519 |    0.413643 |  23.8237 |    0.433025 |   22.366 |    0.176693 |  22.0578 |    0.478436
 162.617425322403 |   -0.0493289815563272 |  23.2342 |    0.346327 |  22.5189 |   0.0975612 |  21.7789 |   0.0847935 |  21.2934 |   0.0694551 |  21.3504 |    0.291794
 162.555355765018 |    0.0142330282293279 |  24.5224 |      1.0135 |  23.0542 |    0.613448 |  23.7064 |    0.289952 |   24.702 |    0.571155 |  23.3356 |    0.591942
 162.519408295571 |  -0.00504047772751424 |  23.0749 |    0.300201 |  21.5886 |   0.0464474 |  21.0734 |   0.0505124 |  20.7015 |   0.0489887 |  20.3613 |    0.123203
 162.475823049698 |    0.0211412700766639 |  24.6455 |     1.01855 |  24.7021 |    0.495279 |  22.6061 |    0.173945 |  22.9943 |    0.318047 |  21.8442 |    0.460856
 162.494821437153 |   -0.0218143495644989 |  24.6898 |    0.628901 |  24.0214 |    0.322113 |  22.9438 |     0.23412 |  22.3216 |     0.17225 |  21.3282 |    0.276739
 162.596335377679 |    0.0174780199504482 |   23.591 |    0.690713 |  21.4816 |   0.0477989 |   19.984 |   0.0249134 |   18.852 |   0.0213113 |  18.2665 |   0.0300495
 162.575698577689 |   -0.0856918119410127 |  23.6823 |    0.464994 |  22.6795 |    0.112609 |  22.4502 |    0.152337 |  22.4258 |    0.183791 |  22.0928 |    0.486261
  162.45873556481 |  -0.00564628426294216 |  23.1291 |    0.310218 |  23.1433 |    0.165238 |  22.0804 |    0.110757 |  21.5315 |   0.0911423 |  21.2185 |    0.255464
 162.628540012498 |   -0.0378605948823108 |  25.1265 |    0.561511 |  24.2876 |    0.379352 |  25.0654 |    0.599863 |  24.5609 |    0.544887 |  20.8444 |    0.192938
 162.561850445877 |    0.0537812405744403 |  23.1973 |    0.513382 |  22.9969 |    0.153461 |  22.8111 |    0.207072 |  23.1899 |    0.745195 |  23.5698 |    0.518226
 162.529678789425 |     0.047281945573106 |  23.5148 |    0.662626 |  22.0296 |   0.0730586 |  21.3403 |   0.0667691 |  20.9366 |   0.0665423 |   20.212 |    0.126071
 162.537863234526 |   0.00641333156696339 |  21.6453 |    0.147424 |  20.7332 |   0.0321707 |  20.5279 |   0.0334265 |  20.4834 |   0.0417103 |  20.4332 |     0.15011
 162.544867385226 |   -0.0915747424143711 |  24.5667 |    0.640724 |  24.5408 |     0.64327 |  22.9495 |    0.235559 |  21.9213 |    0.124193 |  22.1182 |    0.491399
 162.626533631626 |     0.015461119821341 |  25.7015 |    0.653227 |   23.028 |    0.157211 |  21.7785 |   0.0846608 |  21.3091 |   0.0778772 |  20.9329 |    0.231597
 162.581632326049 |  0.000410292676636443 |   25.061 |    0.956736 |  23.3717 |    0.210652 |  21.9883 |    0.101132 |   21.566 |   0.0962496 |  20.8939 |    0.224549
 162.639340461287 |    0.0470581257630789 |  24.0123 |    0.866876 |   24.587 |    0.462846 |   23.677 |    0.409416 |  22.1518 |      1.0494 |  23.3347 |    0.592951
 162.643091794308 |    0.0327549389824484 |  21.0085 |   0.0890717 |  20.0175 |   0.0269478 |  19.6481 |   0.0224963 |  19.5016 |    0.021971 |  19.4437 |   0.0657762
 162.544007817126 |   -0.0642494447857981 |   23.819 |      0.5042 |  25.2901 |    0.491627 |  23.9733 |    0.501976 |  22.0454 |    0.263487 |  22.8144 |     0.58735
 162.605458007453 |   -0.0523628501142872 |  24.2488 |    0.613956 |  23.2593 |    0.180964 |  21.6829 |   0.0787792 |   20.591 |   0.0451295 |  19.9242 |   0.0899848
 162.576046512521 |   -0.0562098356482139 |  23.6529 |    0.458372 |  22.3977 |   0.0884522 |  20.9738 |    0.046879 |  19.7145 |   0.0308452 |   19.123 |   0.0502882
 162.623654251536 |    0.0724418152798721 |  13.4963 |   0.0173783 |  12.1171 | 0.000295355 |  11.6928 | 0.000260902 |  16.1974 |   0.0236821 |  13.4951 |   0.0177362
 162.598641928438 |    0.0142294316919844 |  24.3321 |    0.984876 |  23.2351 |     1.01986 |  24.7529 |    0.641145 |  24.6182 |    0.582322 |   22.984 |    0.656196
 162.487976444728 |   -0.0391851402490031 |  22.7998 |    0.240245 |   22.855 |    0.128424 |  22.5076 |    0.161365 |  21.9044 |    0.121292 |  21.6154 |    0.346004
 162.562602913498 |    0.0748281626042769 |  25.4696 |    0.741786 |  23.2345 |    0.185701 |  21.5997 |    0.074153 |  19.8689 |   0.0292403 |  19.0827 |   0.0491187
  162.46006209043 |    -0.089455081140442 |  23.4607 |    0.400135 |  22.9398 |    0.139472 |  23.0115 |    0.244077 |  22.1783 |    0.153951 |  22.3285 |    0.524718
 162.626842068457 |    0.0832994548838678 |  23.8841 |      0.8031 |  23.6642 |    0.259413 |  22.1737 |    0.119668 |  22.0242 |    0.141448 |  22.1877 |    0.549442
 162.591471073731 |   -0.0939964672847095 |  23.8836 |    0.521583 |  23.2592 |    0.183295 |   22.553 |     0.16589 |  22.0508 |    0.134342 |  21.8044 |     0.41232
  162.64210369641 |    0.0837398700222599 |  23.1245 |    0.483035 |  21.3987 |   0.0456654 |    20.43 |   0.0307836 |  20.0196 |   0.0291747 |  19.8204 |    0.087925
 162.617797010393 |    -0.106942965838179 |  22.7367 |     0.25417 |  21.1467 |   0.0350011 |  20.5187 |    0.033801 |  20.2167 |   0.0317826 |  19.9108 |   0.0886355
 162.622892312894 |    0.0679137003275662 |  24.8769 |     1.09632 |  23.3657 |    0.212733 |   24.285 |     2.32032 |  23.7375 |    0.522787 |  22.9067 |    0.760363
 162.614258297275 |    0.0830189186041729 |  23.6177 |    0.799292 |  22.6934 |    0.123538 |  21.1705 |   0.0746455 |  20.6807 |   0.0671495 |  20.1006 |    0.117933
 162.498759474798 |    0.0360268924271964 |  26.0338 |    0.495383 |  24.2813 |    0.384622 |  23.0805 |      0.2613 |  22.0213 |    0.141967 |  20.7383 |    0.192627
 162.559698773409 |   -0.0462878890112243 |   25.321 |    0.524095 |    24.13 |    0.349493 |  22.8586 |    0.214791 |  21.9359 |    0.122558 |  21.0604 |    0.226668
 162.529177971164 |    0.0338616584331718 |  23.1114 |    0.626118 |  23.3279 |    0.192728 |  21.9186 |   0.0965366 |  21.3155 |   0.0782261 |  20.8115 |    0.205048
 162.631257520067 |    0.0144321908267678 |  24.8855 |    0.985438 |  23.3458 |    0.389663 |  24.5565 |    0.502348 |  24.0054 |    0.570593 |  22.7261 |    0.664628
 162.481106717791 |    0.0553457972588103 |  22.1377 |     0.20884 |  21.3694 |    0.043302 |  20.9652 |   0.0440322 |  20.8031 |   0.0515672 |  20.9217 |    0.225179
 162.626527975455 |      0.01226006279231 |  25.4982 |     0.75203 |   24.311 |    0.410095 |  23.0889 |    0.229664 |   21.561 |   0.0959941 |   20.307 |     0.13611
 162.606508778994 |   -0.0193909541780128 |  23.5403 |    0.434213 |  23.1783 |    0.166119 |  23.3134 |    0.307053 |  22.9415 |    0.282398 |  22.7149 |    0.579529
  162.50274333129 |    -0.100103318780455 |  24.7603 |    0.637334 |  25.0247 |    0.499541 |  22.9887 |    0.244405 |  22.0225 |    0.132628 |  21.4638 |    0.315929
 162.570029294164 |     -0.10706815684277 |  23.9619 |    0.314891 |  21.2402 |   0.0376665 |  20.1692 |   0.0308347 |  19.6923 |   0.0306076 |  19.4789 |   0.0648039
 162.548255402665 |    0.0687790693194729 |   21.061 |   0.0918087 |  19.6131 |   0.0236258 |  18.9634 |   0.0184806 |  18.7115 |   0.0208344 |  18.5181 |   0.0339668
 162.618127733598 |   -0.0880860445130475 |  24.4527 |    0.623928 |   23.627 |    0.191344 |  22.0964 |    0.108537 |  20.3586 |   0.0346473 |   19.527 |   0.0636648
 162.633983050247 |   -0.0609709440011829 |  24.1996 |    0.585248 |  24.8875 |    0.481677 |  23.2491 |    0.283943 |  21.8842 |    0.117502 |   20.976 |    0.217467
 162.520314940213 |    0.0865015609344707 |  23.3009 |    0.554714 |  20.3654 |   0.0279008 |  18.9735 |   0.0185704 |  17.7279 |   0.0191585 |  17.1227 |   0.0202734
  162.49923529241 |    0.0406438030357201 |  25.6346 |    0.674184 |  24.2544 |    0.401159 |  22.9335 |    0.231281 |  22.2934 |    0.179093 |  21.7808 |    0.438973
 162.598058404925 |     0.043538664999449 |  25.8439 |    0.578488 |  25.1151 |    0.518947 |  23.3561 |     0.32271 |  21.8404 |      0.1214 |  21.6231 |    0.393488
 162.627116231279 |    0.0313825949075227 |  23.6737 |    0.722034 |  23.8572 |    0.312502 |  23.1745 |    0.277507 |  22.2796 |    0.177177 |  22.5769 |    0.488857
 162.630973694797 |    0.0460249607565427 |  25.3783 |    0.795121 |   23.652 |    0.249529 |  22.7277 |     0.19113 |  22.1956 |    0.299384 |  22.4446 |    0.618554
  162.64602997138 |   -0.0153239591419346 |  23.1506 |    0.311624 |  22.6999 |    0.119635 |  21.2584 |   0.0539361 |   20.774 |   0.0450503 |  20.5018 |    0.145309
 162.549096198033 |   0.00905752977975008 |  24.4922 |     1.01367 |  25.5662 |    0.484078 |   23.027 |    0.247181 |  21.9619 |    0.135114 |  21.8166 |    0.455563
 162.480936124232 |    0.0143351278717703 |  24.9821 |    0.964352 |  23.1683 |    0.793946 |  24.0294 |    0.508031 |  25.0647 |    0.489679 |  23.5626 |    0.528559
 162.535162133962 |   -0.0343914809589524 |  23.5664 |    0.575593 |  23.5527 |    0.242022 |   23.775 |    0.519073 |  22.5725 |    0.242673 |  22.8884 |     0.59348
 162.639931538369 |    0.0893040623728703 |  25.8308 |     0.58215 |  24.6336 |    0.469501 |  24.3839 |    0.603468 |  22.2913 |     0.17907 |  23.2941 |    0.593325
 162.560040831783 |    0.0566321949580592 |  22.2909 |    0.245716 |  20.0039 |   0.0253703 |  18.7205 |    0.017805 |  18.1792 |   0.0196619 |  17.8715 |   0.0249169
 162.520495460019 |     0.044873031593358 |  24.0159 |    0.869571 |  21.2908 |   0.0425842 |  19.8041 |   0.0232553 |  18.6792 |    0.020741 |  18.0919 |   0.0273789
 162.470134404402 |    0.0476652695523816 |  20.5765 |   0.0666305 |  18.8765 |   0.0195525 |  18.1609 |   0.0127699 |  17.9247 |   0.0176287 |  17.9758 |   0.0281342
 162.600036569737 |    0.0893280413818582 |   24.841 |    0.963162 |  24.6042 |      0.4673 |  22.8926 |    0.222673 |  21.4136 |   0.0847331 |  20.7103 |    0.185361
   162.6064276521 |   -0.0928752095311919 |  24.2647 |    0.628419 |  23.3669 |    0.220473 |  22.5823 |    0.184495 |  22.3625 |    0.184448 |  22.0707 |    0.503263
 162.631539003046 |    0.0383520216563603 |   22.677 |    0.341016 |  23.9074 |    0.323291 |  24.1713 |    0.550806 |  22.1327 |    0.155444 |  22.8676 |    0.662981
 162.514413840361 |    0.0530311747435613 |   23.162 |     0.50186 |  21.8474 |    0.061748 |  20.9021 |    0.043281 |  20.6426 |   0.0464431 |  20.6376 |    0.175903
 162.452829399837 |   -0.0618049762848292 |    24.87 |      0.6196 |  23.1769 |    0.171298 |  22.3524 |    0.140045 |   21.991 |    0.135001 |  21.4545 |    0.307164
 162.570086161412 |    -0.105284524454056 |  25.7359 |    0.833367 |  24.1027 |    0.347673 |  22.6421 |    0.182032 |  22.9984 |     0.29129 |  23.3692 |    0.530312
 162.504721578323 |    0.0521559702619943 |   18.228 |    0.023072 |  17.1315 |   0.0208386 |  16.7315 |   0.0160453 |  16.5848 |   0.0186176 |  16.5351 |   0.0186795
 162.552940128467 |    0.0699648731006011 |  22.2179 |    0.229405 |   19.627 |   0.0236714 |  18.2504 |   0.0169787 |     17.6 |   0.0190463 |  17.2107 |   0.0205904
 162.479943113962 |    0.0261251477745762 |  22.8129 |    0.383607 |  25.0448 |    0.527387 |  23.1802 |    0.282833 |  22.2115 |    0.166635 |  22.4062 |    0.611817
 162.558966469823 |   0.00428814171435652 |  22.5117 |    0.307622 |  20.2661 |   0.0274867 |  19.3332 |   0.0200354 |  18.9807 |   0.0219295 |  18.8202 |   0.0418186
 162.519777414492 |    0.0073716063829055 |   25.448 |    0.770378 |  24.4767 |    0.457438 |  23.9539 |    0.493862 |  22.1464 |    0.158153 |  22.7071 |     0.65521
 162.545024475255 |   -0.0905389499007863 |  25.1861 |    0.559011 |  25.3444 |    0.491673 |  24.1656 |    0.561524 |  22.2334 |    0.158852 |   21.726 |    0.386148
 162.533924784361 |   -0.0258105676770391 |  20.7601 |   0.0501746 |   18.156 |   0.0170367 |  16.9685 |   0.0219506 |  16.5105 |   0.0246013 |  16.2772 |    0.025532
 162.606786283641 | -0.000635610397433595 |  25.1824 |    0.577751 |  25.6899 |    0.417841 |  24.0079 |    0.497662 |  24.5552 |    0.546322 |  20.9722 |    0.207368
 162.643863007953 |   -0.0203596466307715 |  23.9379 |    0.521896 |  23.6837 |    0.248496 |   22.801 |    0.193788 |  21.9603 |     0.12422 |  20.7643 |    0.180055
 162.503806245511 |    0.0536988778587054 |  23.4408 |    0.744156 |  23.0514 |    0.161727 |  22.9529 |    0.262991 |  22.1601 |    0.199615 |  21.0405 |    0.247324
 162.559457965583 |   0.00347031994929749 |  23.0832 |    0.582689 |  22.4229 |    0.392257 |  22.4312 |    0.691687 |  22.7457 |     1.79603 |  22.4424 |    0.625265
 162.556893882047 |    0.0738062768259515 |  25.5361 |    0.712162 |  22.8573 |    0.136085 |  21.5144 |    0.069203 |  20.3307 |    0.037733 |  19.6103 |   0.0736953
 162.627369923065 |    0.0285839234460645 |  23.3646 |    0.585131 |  23.0727 |    0.162638 |  23.1182 |     0.26486 |  23.5116 |    0.456476 |  21.5451 |    0.375194
 162.549339508073 |   -0.0462264261010165 |  19.9533 |   0.0302489 |  19.0029 |   0.0180044 |   18.687 |   0.0230243 |  18.5672 |   0.0258716 |  18.5382 |   0.0367873
 162.638403510797 |    0.0311942947191767 |  22.5918 |    0.315283 |  21.5339 |   0.0492904 |  21.3459 |   0.0607712 |  21.2271 |   0.0730623 |  21.8365 |    0.464943
 162.622715501188 |    0.0566938392291245 |  24.6293 |     1.00063 |  25.5481 |    0.476647 |  22.5746 |    0.167993 |  22.0913 |      0.1501 |  21.4135 |    0.334224
 162.469726698419 |     0.084057226600373 |  25.5306 |    0.749668 |   25.822 |    0.417881 |  22.6651 |    0.553544 |  23.7867 |     0.52772 |  22.0064 |    0.505536
 162.619051831295 |    0.0294701455729475 |  16.1604 |   0.0181755 |  14.9414 |   0.0206332 |  14.8957 |   0.0158635 |  14.9304 |   0.0184373 |   15.011 |   0.0173581
 162.611788337522 |   -0.0613066697397388 |  21.6812 |    0.099427 |  21.3495 |   0.0402506 |  21.1927 |   0.0540896 |  21.2922 |   0.0730429 |  20.8073 |    0.188077
 162.527375774425 |     0.017052006797153 |  22.8962 |    0.407188 |  23.8321 |    0.304256 |  22.9185 |    0.226503 |  21.2568 |   0.0746931 |  20.2754 |    0.130751
 162.636877187277 |   0.00901468774139835 |  24.5576 |     1.00341 |  24.9907 |    0.517745 |  24.5232 |    0.623007 |  22.2778 |    0.272777 |  22.6323 |    0.666092
 162.608585369556 |    0.0336175175692288 |  22.5521 |    0.356594 |  20.8667 |   0.0338002 |  19.4692 |    0.020656 |   18.522 |    0.020317 |  18.0115 |   0.0265197
  162.58432671721 |    0.0840673428670043 |  23.9198 |    0.814252 |  25.3539 |     0.50344 |  22.5545 |    0.406454 |  24.2245 |    0.594572 |  22.2585 |     0.56637
 162.507367581868 |    0.0859208269897008 |  26.4811 |    0.337261 |  24.3972 |    0.429133 |  23.0173 |    0.249897 |  22.1866 |    0.163226 |  22.0702 |    0.518649
 162.549307370626 |    0.0841680153241933 |  20.9658 |   0.0855052 |  19.0699 |   0.0222487 |  18.1805 |   0.0174847 |  17.9244 |    0.019337 |  17.7678 |   0.0239305
 162.608783639264 |    0.0636158876751621 |  21.7121 |    0.152131 |  21.6854 |   0.0544241 |  21.3621 |   0.0607405 |  21.2073 |   0.0713961 |  20.6184 |    0.172461
 162.613178679961 |    -0.103001783557941 |  23.4531 |    0.398411 |  23.5182 |    0.226791 |  22.4569 |    0.151614 |  23.5078 |    0.417766 |  22.6916 |    0.603791
 162.608333708054 |    0.0371428431542175 |  24.0312 |    0.875613 |  23.3308 |    0.200827 |  23.6177 |    0.392335 |  23.2651 |    0.388427 |  23.2922 |    0.597341
 162.549321568926 |   0.00354845052856262 |  22.0028 |     1.06897 |  20.7121 |   0.0319694 |  20.3993 |   0.0318441 |  20.2913 |   0.0392455 |  20.1208 |    0.115365
 162.550836527296 |     0.088504860920487 |    23.48 |    0.625229 |  21.7729 |   0.0579465 |  21.4619 |   0.0666063 |  21.1685 |   0.0693791 |  21.0398 |    0.244623
 162.613218851591 |    0.0731696016271085 |  23.5159 |     0.64056 |  23.9947 |    0.332826 |  23.4015 |     0.33524 |  22.1813 |    0.162188 |  21.4448 |    0.339797
 162.608297919419 |    0.0496839712461105 |  24.6423 |     1.00076 |  24.2526 |    0.394233 |  23.8681 |    0.465873 |  22.2953 |    0.178933 |  21.9407 |    0.485658
 162.466715353049 |   -0.0515033219640144 |  23.8588 |    0.510537 |  23.6152 |    0.316176 |  22.9286 |     0.22804 |  22.3368 |    0.176911 |  22.5529 |    0.560725
 162.602828141564 |   -0.0190990299678566 |  24.9659 |     0.62078 |  23.3042 |    0.184202 |  22.9512 |    0.228362 |  23.1971 |    0.342069 |  22.2935 |    0.519729
 162.603171987867 |   -0.0426211856549198 |  24.5587 |    0.652692 |  22.9521 |    0.139484 |  21.4983 |   0.0679545 |  20.7613 |   0.0501004 |   20.156 |    0.107936
